iter	Passed	Remaining
773	1706	498
774	1707	495
775	1709	493
776	1710	490
777	1711	488
778	1712	485
779	1713	483
780	1715	480
781	1716	478
782	1717	476
783	1719	473
784	1721	471
785	1722	468
786	1723	466
787	1724	463
788	1725	461
789	1726	459
790	1727	456
791	1729	454
792	1731	451
793	1733	449
794	1735	447
795	1736	445
796	1738	442
797	1740	440
798	1741	438
799	1742	435
800	1744	433
801	1746	431
802	1747	428
803	1749	426
804	1750	423
805	1751	421
806	1752	419
807	1754	416
808	1755	414
809	1757	412
810	1758	409
811	1762	408
812	1764	405
813	1765	403
814	1767	401
815	1769	398
816	1770	396
817	1771	394
818	1773	391
819	1775	389
820	1776	387
821	1778	385
822	1780	382
823	1782	380
824	1785	378
825	1786	376
826	1788	374
827	1790	371
828	1792	369
829	1794	367
830	1796	365
831	1797	363
832	1799	360
833	1800	358
834	1802	356
835	1803	353
836	1806	351
837	1807	349
838	1809	347
839	1810	344
840	1812	342
841	1813	340
842	1815	338
843	1816	335
844	1817	333
845	1820	331
846	1822	329
847	1824	327
848	1825	324
849	1827	322
850	1828	320
851	1830	317
852	1831	315
853	1835	313
854	1837	311
855	1839	309
856	1840	307
857	1841	304
858	1843	302
859	1844	300
860	1846	298
861	1848	295
862	1851	293
863	1852	291
864	1854	289
865	1855	287
866	1856	284
867	1858	282
868	1859	280
869	1863	278
870	1865	276
871	1866	274
872	1868	271
873	1870	269
874	1871	267
875	1872	265
876	1874	262
877	1876	260
878	1878	258
879	1880	256
880	1881	254
881	1883	251
882	1884	249
883	1885	247
884	1886	245
885	1889	243
886	1890	240
887	1891	238
888	1894	236
889	1896	234
890	1897	232
891	1898	229
892	1900	227
893	1902	225
894	1903	223
895	1904	221
896	1906	218
897	1907	216
898	1909	214
899	1911	212
900	1912	210
901	1913	207
902	1915	205
903	1916	203
904	1918	201
905	1919	199
906	1920	196
907	1922	194
908	1924	192
909	1925	190
910	1926	188
911	1928	186
912	1929	183
913	1931	181
914	1932	179
915	1933	177
916	1935	175
917	1936	172
918	1937	170
919	1940	168
920	1941	166
921	1943	164
922	1945	162
923	1946	160
924	1947	157
925	1948	155
926	1949	153
927	1951	151
928	1953	149
929	1955	147
930	1957	145
931	1959	142
932	1960	140
933	1961	138
934	1963	136
935	1964	134
936	1967	132
937	1969	130
938	1971	128
939	1973	125
940	1975	123
941	1977	121
942	1979	119
943	1981	117
944	1984	115
945	1985	113
946	1987	111
947	1988	109
948	1989	106
949	1991	104
950	1992	102
951	1993	100
952	1995	98
953	1996	96
954	1998	94
955	2000	92
956	2002	89
957	2003	87
958	2004	85
959	2005	83
960	2006	81
961	2008	79
962	2009	77
